Date,RPmsoft,RPsandp,Dprod,Dinflation,Dterm,m1
1994m6,-4.379910469,-3.071454763,0.451999992,0.270590216,-0.180000067,0
1994m7,-0.608775735,2.743755817,0.108099997,-0.068504125,0.170000076,0
1994m8,11.73750687,3.318414211,0.389899999,0.133591831,-0.309999943,0
1994m9,-3.891978741,-3.115367651,0.219099998,-0.135400832,-0.160000086,0
1994m10,11.12392998,1.639472842,0.603799999,-0.201184675,0.130000114,0
1994m11,-0.628157854,-4.468109131,0.44600001,0.066777855,0.039999962,0
1994m12,-3.297540426,0.747412682,0.732900023,-0.133689865,-0.5,0
1995m1,-3.396193981,1.907097459,0.138300002,0.400000542,-0.230000019,1
1995m2,5.417725563,3.043871164,-0.045200001,-0.001593649,-0.340000033,0
1995m3,11.62922001,2.202080011,0.113499999,-0.06760937,-0.279999971,0
1995m4,13.43888855,2.266821146,-0.0305,-0.001090676,-0.110000014,0
1995m5,3.047338724,3.080964327,0.187399998,-0.132403269,-0.129999995,0
1995m6,6.014815807,1.628869534,0.260399997,-0.000388518,-0.590000033,0
1995m7,-0.323750317,2.660663128,-0.2755,-0.19691506,0,0
1995m8,1.720046163,-0.497863531,0.939199984,0.261951685,0.379999995,0
1995m9,-2.641712904,3.475615263,0.266799986,-0.065937251,-0.050000012,0
1995m10,9.525366783,-0.955848575,-0.128800005,0.129824877,-0.219999969,0
1995m11,-14.24420452,3.567053318,0.187299997,-0.390922308,-0.110000014,0
1995m12,0.263038367,1.271847963,0.280800015,-4.24E-05,-0.179999977,0
1996m1,4.838345051,2.776335478,-0.480199993,0.649732411,0.099999994,1
1996m2,6.054164886,0.26764828,1.154299974,-0.261296093,0.129999995,0
1996m3,3.974306822,0.371871799,-0.114200003,0.191822171,0.49999994,0
1996m4,8.941273689,0.905037999,0.614700019,-0.130517274,0.140000105,0
1996m5,4.314767838,1.832115889,0.515600026,-0.192861259,0.409999967,0
1996m6,0.712080061,-0.209584713,0.662899971,-0.127918035,0.019999981,0
1996m7,-2.331725359,-5.123585701,-0.099399999,0.127429008,-0.070000052,0
1996m8,3.4112041,1.422250986,0.488900006,-0.000365123,-0.099999905,0
1996m9,6.933972359,4.834363461,0.4014,0.12645936,0.159999967,0
1996m10,3.569499493,2.154951572,0.0032,-0.001003981,-0.070000052,0
1996m11,12.93770981,6.650896549,0.62440002,-0.127021626,-0.289999962,0
1996m12,-64.54376984,-2.594831944,0.49149999,-0.189334229,-0.159999967,0
1997m1,20.63877106,5.51773119,0.087399997,0.314762622,0.149999976,1
1997m2,-4.939543724,0.163504779,0.935699999,-0.000987649,0.080000043,0
1997m3,-6.579739094,-4.790695667,0.600300014,-0.063461959,0.029999971,0
1997m4,27.70759583,5.233856201,0.035300002,-0.125391066,0.230000019,0
1997m5,1.595896959,5.251710892,0.543500006,-0.187363401,-0.120000005,0
